,year,uconst,ranking,count,percentage,order
49,2020,Upfront costs,Critical constraint,16,14.0,1.0
48,2020,Upfront costs,Major constraint,55,48.2,1.0
47,2020,Upfront costs,Moderate constraint,30,26.3,1.0
46,2020,Upfront costs,Minor constraint,9,7.9,1.0
45,2020,Upfront costs,Not a constraint,4,3.5,1.0
34,2020,Technical skills,Critical constraint,17,14.9,2.0
33,2020,Technical skills,Major constraint,33,28.9,2.0
32,2020,Technical skills,Moderate constraint,28,24.6,2.0
31,2020,Technical skills,Minor constraint,27,23.7,2.0
30,2020,Technical skills,Not a constraint,9,7.9,2.0
39,2020,Time required,Critical constraint,11,9.6,3.0
38,2020,Time required,Major constraint,35,30.7,3.0
37,2020,Time required,Moderate constraint,32,28.1,3.0
36,2020,Time required,Minor constraint,27,23.7,3.0
35,2020,Time required,Not a constraint,9,7.9,3.0
19,2020,Maintenance costs,Critical constraint,6,5.4,4.0
18,2020,Maintenance costs,Major constraint,34,30.4,4.0
17,2020,Maintenance costs,Moderate constraint,41,36.6,4.0
16,2020,Maintenance costs,Minor constraint,21,18.8,4.0
15,2020,Maintenance costs,Not a constraint,10,8.9,4.0
44,2020,Training access,Critical constraint,9,7.9,5.0
43,2020,Training access,Major constraint,27,23.7,5.0
42,2020,Training access,Moderate constraint,38,33.3,5.0
41,2020,Training access,Minor constraint,25,21.9,5.0
40,2020,Training access,Not a constraint,15,13.2,5.0
29,2020,Tech performance,Critical constraint,3,2.6,6.0
28,2020,Tech performance,Major constraint,18,15.7,6.0
27,2020,Tech performance,Moderate constraint,48,41.7,6.0
26,2020,Tech performance,Minor constraint,35,30.4,6.0
25,2020,Tech performance,Not a constraint,11,9.6,6.0
4,2020,Best practice,Critical constraint,3,2.6,7.0
3,2020,Best practice,Major constraint,19,16.5,7.0
2,2020,Best practice,Moderate constraint,42,36.5,7.0
1,2020,Best practice,Minor constraint,41,35.7,7.0
0,2020,Best practice,Not a constraint,10,8.7,7.0
9,2020,Data security,Critical constraint,8,7.0,8.0
8,2020,Data security,Major constraint,17,14.8,8.0
7,2020,Data security,Moderate constraint,32,27.8,8.0
6,2020,Data security,Minor constraint,43,37.4,8.0
5,2020,Data security,Not a constraint,15,13.0,8.0
14,2020,Landscape changes,Critical constraint,3,2.6,9.0
13,2020,Landscape changes,Major constraint,16,14.0,9.0
12,2020,Landscape changes,Moderate constraint,46,40.4,9.0
11,2020,Landscape changes,Minor constraint,36,31.6,9.0
10,2020,Landscape changes,Not a constraint,13,11.4,9.0
24,2020,Needs not met,Critical constraint,3,2.6,10.0
23,2020,Needs not met,Major constraint,21,18.4,10.0
22,2020,Needs not met,Moderate constraint,27,23.7,10.0
21,2020,Needs not met,Minor constraint,40,35.1,10.0
20,2020,Needs not met,Not a constraint,23,20.2,10.0
109,2021,Upfront costs,Critical constraint,30,24.0,1.0
108,2021,Upfront costs,Major constraint,47,37.6,1.0
107,2021,Upfront costs,Moderate constraint,37,29.6,1.0
106,2021,Upfront costs,Minor constraint,8,6.4,1.0
